year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
2017;Richard;Henderson;M;1945;;United Kingdom;za vývoj kryoelektrónovej mikroskopie umožňujúcej skúmať štruktury biomolekúl v roztoku pri vysokom rozlíšení;for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2018;Frances;Arnold;F;1956;;United States;za riadenú evolúciu enzýmov;for the directed evolution of enzymes
2018;George P.;Smith;M;1941;;United States;za fágový displej peptidov a protilátok;for the phage display of peptides and antibodies
2018;Sir Gregory ;Winter;M;1951;;United Kingdom;za fágový displej peptidov a protilátok;for the phage display of peptides and antibodies
2019;John B. ;Goodenough;M;1922;2023;United States;za vývoj Li-on batérií;for the development of lithium ion batteries
2019;M. Stanley ;Whittingham;M;1941;;United Kingdom,United States;za vývoj Li-on batérií;for the development of lithium ion batteries
2019;Akira;Yoshino;M;1948;;Japan;za vývoj Li-on batérií;for the development of lithium ion batteries
2020;Emmanuelle;Charpentier;F;1968;;France;za vývoj metódy editácie genómu;for the development of a method for genome editing
2020;Jennifer;Doudna;F;1964;;United States;za vývoj metódy editácie genómu;for the development of a method for genome editing
2021;Benjamin;List;M;1968;;Germany;za vývoj asymetrickej organokatalýzy;for the development of asymmetric organocatalysis
2021;David W.C.;MacMillan;M;1968;;United Kingdom,United States;za vývoj asymetrickej organokatalýzy;for the development of asymmetric organocatalysis
2022;Carolyn;Bertozzi;F;1966;;United States;za vývoj v oblastiach klikovej a bioortogonálnej chémie;for the development of click chemistry and bioorthogonal chemistry
2022;Morten;Meldal;M;1954;;Denmark;za vývoj v oblastiach klikovej a bioortogonálnej chémie;for the development of click chemistry and bioorthogonal chemistry
2022;K. Barry ;Sharpless;M;1941;;United States;za vývoj v oblastiach klikovej a bioortogonálnej chémie;for the development of click chemistry and bioorthogonal chemistry
2023;Moungi G.;Bawendi;M;1961;;United States,France,Tunisia;za objav a syntézu kvantových bodiek;for the discovery and synthesis of quantum dots
2023;Louis  E.;Brus;M;1943;;United States;za objav a syntézu kvantových bodiek;for the discovery and synthesis of quantum dots
2023;Alexej ;Jekimov;M;1945;;Russia;za objav a syntézu kvantových bodiek;for the discovery and synthesis of quantum dots
